lunch|n. 午餐|The dishes for lunch were really rich and tasty.|午餐的菜肴真是丰盛可口。||【辨析】bunch  n.束，串，扎；launch v.发动，发起；【谐音】浪吃(lunch)"：午餐时放松享受美食。
downwards|adv. 向下|The monkey was hanging head downwards from the branch.|猴子头向下倒挂在树枝上。||【辨析】downward  adj.向下的，下降的；outwards  adv.向外地；inwards   adv.向内地；downtown  adj.市中心的，商业区的；upwards   adv.向上；backwards adv.向后；【谐音】当我自(downwards)"：当我自远古来，表示向下的方向。
immensely|adv. 极其，非常|All of us enjoyed the party immensely .|我们大家都很喜欢这次聚会。|talk shop 谈本行的事|【辨析】immense   adj.极大的，巨大的；immensity n.巨大，广大；immerse   v.使沉浸（于），使深陷（于）；immunity  n.免疫力；imminent  adj.即将发生的，临近的；immune    adj.免疫的；immediate adj.立刻的，即时的；【谐音】一门死嘞(immensely)"：形容极大的、非常惨重的事件。
faculty|n. 全体教职人员；机能；天赋|Both faculty and students oppose the policy.|全体教职工和学生都反对这一政策。|the faculty of arts 文学院；collect one's faculties 镇定下来|【辨析】faulty   adj.有故障的，有缺陷的；facility n.设施，设备；factual  adj.真实的；fault    n.错误；default  n.不履行，违约；fatal    adj.致命的；【谐音】发课题(faculty)"：院系给全体教职员发课题，来考验大家的才能。；【变形】复数形式：faculties
gene|n. 基因|Researchers discovered some similarities between human genes and those of chimpanzees.|研究人员发现了人类基因和猩猩的基因存在一些相似之处。||【辨析】genre   n.体裁，类型；gender  n.性别；genetic adj.基因的，遗传学的；genius  n.天赋，天资；【谐音】基因(gene)"：英文发音与中文"基因"相似，指遗传因子。
equally|adv. 平等地，均等地|All men are treated equally before the law.|法律面前，人人平等。||【辨析】equal      adj.（在数量、大小、程度、价值方面）相等的，相同的；equality   n.均等，平等；equator    n.赤道；equip      v.装备，配备；equivalent adj.等同的，等效的；【谐音】一块儿累(equally)"：一块儿累，所以是同样的。
plough|n. 犁；v. 犁（田），翻（土）|Farmers used ploughs to turn over the earth in the past.|农民们过去用犁翻地。|plough around 试探；the Plough 北斗七星；be at the plough 在种田|【辨析】plunge v.（使）突然向前倒下（跌落）；plow   n.犁；pledge n.誓言，保证，承诺；plight n.困境，窘境；plague n.瘟疫，传染病；【谐音】扑劳(plough)"：一心扑在劳动上才会耕地。
mushroom|n. 蘑菇；v. 快速增长|There are many different types of wild mushrooms in this forest.|这个树林里有很多不同种类的野生蘑菇。|mushrooming local GDP 快速增长的地方GDP；mushrooming costs 飞涨的成本|【辨析】washroom n.洗手间；room     n.房间，室；bedroom  n.卧室；【谐音】马食room(mushroom)"：放马食的房间长满了蘑菇。
acre|n. 英亩|They own 100 acres of farmland.|他们有100英亩农田。|acres of 大量的；a acre of xxx 一英亩xxx；；a acre of 一英亩 acres of 大量的；four acre field 四英亩田|【辨析】ache v.（隐隐地、持续地）疼痛；are  v.是（be 的第二人称单复数现在式）；care n.照料，护理；area n.地区，区域；acid n.酸；arch n.拱门；【谐音】爱啃(acre)"：老王啃老，占用父亲几英亩的地。
mainstream|n. 主流；干流|The young writer started as a rebel, but soon became part of the literary mainstream .|这位年轻的作家起初很叛逆，但不久就归入了文学主流。|off the mainstream 非主流；blend into the mainstream 融入主流；main stream 主要的 河流；mainstream culture 主流文化|【辨析】mainland n.大陆，本土；【谐音】明明(main)死追(stream)"：明明死追，却没有进入主流社会。
depend|v. 依靠；信赖；取决于|Whether or not we go abroad for our holiday depend s on the cost.|我们是否出国度假取决于要花费多少钱。|depend on 取决于，依赖于|【辨析】spend v.度过，花（时间）；【谐音】地盘的(depend)"：你的地盘，我要依靠你。
distract|v. 转移注意力|Children are so easily distracted .|儿童的注意力很不容易集中。|distract one's attention 分散某人注意力|【辨析】distinct    adj.不同的，有区别的；distort     v.扭曲，使失真；abstract    adj.抽象的，纯概念的；extract     n.选段，引文；attract     v.吸引；subtract    vt.减去，删减；restrict    v.限制，控制（大小、数量、范围）；contract    n.合同，契约；distinctive adj.独特的，与众不同的；distinction n.差别，区分；divert      v.使转向，使绕道
consciousness|n. 知觉，感觉；意识，观念|Love of freedom runs deep in the national consciousness .|对自由的热爱深深地根植于这个民族的意识之中。|civic consciousness 公民意识|【辨析】conscious     adj.意识到的；conscientious adj.认真的，勤勤恳恳的；conscience    n.良知，良心；consensus     n.一致看法，共识；unconscious   adj.（尤指因头部受伤）昏迷的，不省人事的
cling|v. 抓紧；坚持；粘住；依恋|She clung to the hope that her son was not dead.|她坚信她儿子还活着。|cling to 紧抓，坚持，坚信；cling to the hope 坚信|【辨析】fling v.扔，掷；cliff n.悬崖，峭壁；【谐音】颗粒(cling)"：紧贴附着，坚守不放。；【变形】过去式：clung；过去分词：clung
voter|n. 投票者，选民|Tax cuts are usually popular with voters .|减税通常会很受选民们欢迎。|independent voter 独立选民|【辨析】vote v.投票选举，投票表决；volt n.伏特（电压单位）；veto n.否决权；【谐音】我投(voter)"：我投票，我是选民。
offense|n. 犯罪；过错；冒犯；进攻|The photo may cause offense to some people.|这张照片可能会引起一些人的反感。||【辨析】offence   n.违法行为，犯罪；offender  n.犯罪者，违法者；offensive adj.无礼的，冒犯的；【谐音】哦粉丝(offense)"：狂热的粉丝容易冒犯他人。
hearing|n. 听觉；听证会，审理|Her hearing is poor.|她的听觉不灵。|hearing loss 失聪；court hearings 法院听证会；a hearing aid 助听器|【辨析】hear v.听到，听见
repayment|n. 偿还债务；分期偿还额|I took her to court for repayment of the debt.|我为索取债务而起诉她。||【辨析】payment n.支付款项，支付额；repay   v.付还，偿还
recommendation|n. 推荐；劝告，建议；推荐信|Here's a list of my top CD recommendations .|这是我认为最值得推荐的光盘清单。|letter of recommendation 推荐信；recommendation letter 推荐信；on one's recommendation 在某人的推荐下|【辨析】accommodation n.<美>住宿，膳宿；recommend     v.建议，劝告；【谐音】瑞克曼得升(recommendation)"：瑞克曼得到推荐升职。
measure|v. 测量；判定；n. 措施，方法；程度；衡量；度量单位|We often use a ruler to measure length.|通常使用尺子来测量长度。|take measures 采取措施；measure up to 符合；达到；know no measure 无止境；desperate measures 孤注一掷的办法；no measure 无限|【辨析】pleasure    n.快乐，满足，欣慰；treasure    n.金银财宝，珠宝，财富；pressure    n.压力，挤压；measurable  adj.显著的，有明显影响的；sure        adj.确信的，有把握的；measurement n.（通常以数字形式呈现的）测量结果；【谐音】埋着儿(measure)"：土里埋着的东西要测量。；【变形】现在分词：measuring
remote|adj. 偏远的；远程的；遥控的；n. 遥控器|It takes several hours for people who live in remote areas to go to the downtown.|住在偏远地区的人要花好几个小时去市中心。||【辨析】remove  vt.移开，拿开；promote v.促进，提倡；removal n.移走，去掉；routine n.常规，惯例；motive  n.动机，目的，原因；move    v.（使）改变位置，（使）移动；【谐音】惹毛他(remote)"：惹毛了他，他跑到偏远的地方去了。；【变形】比较级：remoter；最高级：remotest
provoke|v. 刺激；挑衅；导致|The article was intended to provoke discussion.|这篇文章旨在引发讨论。|provoke vt 及物！！！！激怒 惹起 驱使 provoke strong opposition provoke criticism|【辨析】proverb     n.谚语，格言；evoke       v.引起，唤起（感情、记忆或形象）；provocative adj.挑衅的，煽动性的；provocation n.激怒，挑衅，挑衅性事件；【变形】现在分词：provoking
skyscraper|n. 摩天大楼|The new skyscraper is still under construction.|新的摩天大楼还在建造中。||【谐音】天空(sky)刮刀(scraper)"：摩天大楼高耸入云，仿佛能刮擦到天空。
ironically|adv. 讽刺地|He promised to never betray her. Ironically , he broke his word the second year after their marriage.|他承诺永远不背叛她。讽刺的是，他们婚后第二年他就食言了。||【辨析】ironical adj.反语的，讽刺的；ironic   adj.反语的，讽刺的；【谐音】爱若你可离(ironically)"：爱若是你，可以离弃不要，讽刺对方。
fake|n. 赝品；冒充者；v. 伪造；冒充；adj. 伪造的；冒充的|He looked like a postman but he was really a fake .|他看上去像个邮递员, 但实际上是假冒的。|fraud n 骗子、欺骗；fake v 假冒|【辨析】fade v.逐渐消失；fate n.命运；bake v.炎热，灼热；sake n.利益，好处；wake v.唤醒，醒来；cake n.饼状食物，饼；make v.制造；take v.携带，拿走；lake n.湖，湖泊；folk n.人们；【谐音】废客(fake)"：赝品就像假冒的客人，是废弃的客体。；【变形】现在分词：faking
bachelor|n. 单身汉；学士|You have the alternative of marrying or remaining a bachelor .|你可以结婚也可以仍做单身汉, 任你选择.|bachelor's degree 学士学位单身汉。注意发音。|【辨析】butcher n.屠夫
temporarily|adv. 暂时地|The store is closed temporarily for redecoration.|这家商店因重新装修而暂时关闭。||【辨析】temporary    adj.暂时的，临时的；temperature  n.温度，气温；contemporary adj.当代的，现代的；【谐音】太破烂了哩(temporarily)"：这只是暂时的状态。
defeat|v. 打败；挫败；n. 击败；失败|He defeated the champion in three sets.|他三盘击败了冠军。||【辨析】defect    n.缺点，缺陷，毛病；detect    v.查明，察觉；defend    v.保卫，防御；defence   n.防御，防御物；detective n.侦探，警探；【谐音】的飞它(defeat)"：把它打飞了，表示击败、打败。
evidence|n. 根据，证明；证据；v. 证实；证明|We found further scientific evidence for this theory.|我们找到了进一步证实这种理论的科学根据。|on the evidence of 依····来看··；in evidence 明显的|【辨析】evident adj.清楚的，显然的；【谐音】一味等死(evidence)"：不要一味等死，要去找证据证明清白。
